id,stadtteil,2011,2017,2018,2019,2020,2021
1,Altstadt,"14,8","13,7","14,3","14,5","14,6","13,7"
2,Neustadt,"12,6","10,1","10,4","10,7","10,9","10,3"
3,Nordstadt,"24,5","24,3","24,5","24,4","24,4","23,8"
4,Westliche_Höhe,"40,2","41,9","41,3","41,8",43,"43,2"
5,Friesischer_Berg,"29,7","27,6","28,6","28,3","29,6","29,2"
6,Weiche,30,"33,8","33,6","33,5","34,4","34,5"
7,Südstadt,"33,8","26,7","25,7","26,1","26,4","25,3"
8,Sandberg,"26,8","24,4","24,2","23,7",23,"22,1"
9,Jürgensby,"27,2","23,9","23,7","24,8",25,"24,9"
10,Fruerlund,"35,8","39,6","39,6",40,"40,5","22,1"
11,Mürwik,"49,6","52,2",52,"51,3","51,8","52,8"
12,Engelsby,32,"37,2","36,9","38,2","38,5","38,7"
13,Tarup,"28,8","26,6","26,2","26,2","26,6","27,3"
