id,stadtteil,gesamt,unter_18,18_bis_unter_30,30_bis_unter_45,45_bis_unter_65,65_bis_unter_80,80_und_älter,0_bis_unter_7,60_und_älter
1,Altstadt,3866,360,1338,951,804,265,148,174,565
2,Neustadt,4850,745,1597,1162,977,177,92,347,551
3,Nordstadt,12525,2164,2349,2722,3348,1494,448,946,2642
4,Westliche_Höhe,8015,1241,1387,1485,1912,1276,714,501,2451
5,Friesischer_Berg,6644,816,1578,1376,1583,840,451,337,1681
6,Weiche,7472,1533,917,1433,2105,987,497,549,1958
7,Südstadt,4205,591,996,954,950,485,229,283,953
8,Sandberg,7602,657,2225,1333,1425,627,435,291,1380
9,Jürgensby,8371,959,2160,1735,2071,997,449,402,1938
10,Fruerlund,6794,1017,974,1296,1863,1066,578,425,2113
11,Mürwik,15301,2361,1976,2609,3969,2790,1596,943,5460
12,Engelsby,7536,1256,1025,1293,2250,1164,548,497,2292
13,Tarup,5596,1244,808,1106,1528,617,293,453,1214
