01 Altstadt,,1.374,"35,5%","57,8%","42,2%",999,"25,8%",375,"9,7%"
02 Neustadt,,2.191,"45,2%","56,6%","43,4%",1.748,"36,0%",443,"9,1%"
03 Nordstadt,,5.782,"46,2%","54,2%","45,8%",4.109,"32,8%",1.673,"13,4%"
04 Westliche Höhe,,2.149,"26,8%","49,0%","51,0%",1.158,"14,4%",991,"12,4%"
05 Friesischer Berg,,1.685,"25,4%","53,7%","46,3%",907,"13,7%",778,"11,7%"
06 Weiche,,2.155,"28,8%","51,3%","48,7%",933,"12,5%",1.222,"16,4%"
07 Südstadt,,1.436,"34,1%","54,9%","45,1%",919,"21,9%",517,"12,3%"
08 Sandberg,,1.718,"25,6%","55,9%","44,1%",1.117,"16,7%",601,"9,0%"
09 Jürgensby,,1.972,"23,6%","53,5%","46,5%",1.273,"15,2%",699,"8,4%"
10 Fruerlund,,1.572,"23,1%","48,8%","51,2%",645,"9,5%",927,"13,6%"
11 Mürwik,,3.705,"24,2%","49,3%","50,7%",1.623,"10,6%",2.082,"13,6%"
12 Engelsby,,2.281,"30,3%","49,9%","50,1%",946,"12,6%",1.335,"17,7%"
13 Tarup,,1.109,"19,8%","49,8%","50,2%",244,"4,4%",865,"15,5%"
